id,12m_call_history,acq_method,ann_prm_amt,bi_limit_group,channel,digital_contact_ind,geo_group,has_prior_carrier,home_lot_sq_footage,household_group,household_policy_counts,newest_veh_age,pay_type_code,pol_edeliv_ind,prdct_sbtyp_grp,product_sbtyp,telematics_ind,tenure_at_snapshot,trm_len_mo,call_counts
35,0,method1,1688.74,NonAuto,Others,0,rural,1,85383,1dwelling,1,-20,type1,0,A,type1,-2,141,12,26
36,4,method1,642.54,NonAuto,Others,0,urban,0,119291,1dwelling,1,-20,type1,1,C,type1,-2,137,12,87
37,3,method2,98.33,NonAuto,Others,0,urban,1,73799,1dwelling,1,-20,type1,1,C,type1,-2,8,12,117
38,14,method3,1809.01,SPGrp2,Retail,0,urban,0,76142,2autodwelling,2,8,type3,0,B,type3,1,178,6,74
39,0,method2,433.38,NonAuto,Retail,1,rural,1,14662,3other,3,-20,type1,1,B,type1,-2,15,12,0
40,0,missing,248.45,NonAuto,Others,0,rural,0,94553,1dwelling,1,-20,type2,0,A,type2,-2,118,12,0
41,1,method2,903.18,NonAuto,Others,0,urban,0,131745,1dwelling,1,-20,type1,0,A,type1,-2,130,12,0
42,3,method2,2604.16,NonAuto,Retail,0,suburban,1,142869,3other,3,-20,type3,1,A,type3,-2,105,12,23
43,0,method1,1236.2,NonAuto,Others,0,urban,1,33400,1dwelling,1,-20,type1,1,C,type1,-2,0,12,0
44,12,method3,330.43,CSLGrp2,Retail,0,suburban,0,35377,2autodwelling,2,29,type2,0,C,type2,0,172,6,0
45,1,method2,1470.19,NonAuto,Retail,0,rural,0,29794,3other,4,-20,type1,1,C,type1,-2,77,12,0
46,0,method1,1315.02,NonAuto,Others,1,suburban,1,85443,1dwelling,1,-20,type3,1,A,type3,-2,0,12,0
47,4,missing,394.23,NonAuto,Retail,0,rural,1,53804,3other,3,-20,type1,1,C,type1,-2,90,12,0
48,5,method3,6993.09,NonAuto,Retail,0,rural,1,84313,1dwelling,1,-20,type1,1,C,type1,-2,6,12,0
49,3,method1,1685.77,NonAuto,Retail,1,suburban,1,37079,3other,4,-20,type2,1,A,type2,-2,24,12,0
50,6,method3,499.08,NonAuto,Others,0,rural,0,38780,1dwelling,1,-20,type1,0,A,type1,-2,15,12,0
51,0,method2,659.21,NonAuto,Others,1,urban,0,82451,1dwelling,1,-20,type2,1,C,type2,-2,177,12,0
52,2,method4,633.64,NonAuto,Retail,0,urban,0,51147,1dwelling,1,-20,type2,0,C,type2,-2,112,12,0
53,3,method2,643.49,NonAuto,Retail,0,rural,0,69804,3other,4,-20,type2,-2,C,type2,-2,113,12,0
54,1,method1,347.54,NonAuto,Others,0,urban,1,77280,1dwelling,1,-20,type1,0,C,type1,-2,74,12,13
55,1,method2,4039.29,SPGrp3,Retail,1,rural,1,12000,2autodwelling,2,28,type1,1,C,type1,1,18,6,62
56,11,missing,674.28,NonAuto,Retail,1,urban,0,147783,3other,4,-20,type3,1,B,type3,-2,104,12,175
57,1,method1,397.14,NonAuto,Retail,0,urban,0,68559,1dwelling,1,-20,type2,0,C,type2,-2,149,12,0
58,8,method4,601.42,NonAuto,Retail,0,urban,0,136304,1dwelling,1,-20,type1,1,C,type1,-2,0,12,0
59,3,method4,1480.6,NonAuto,Others,0,rural,1,124250,1dwelling,1,-20,type2,0,A,type2,-2,189,12,44
60,3,missing,1405.41,NonAuto,Retail,0,rural,0,110863,1dwelling,1,-20,type2,0,B,type2,-2,174,12,172
61,2,method2,305.18,SPGrp3,Retail,0,suburban,0,97204,2autodwelling,2,8,type1,0,C,type1,0,107,6,20
62,1,method3,1379.06,NonAuto,Others,0,suburban,0,66008,1dwelling,1,-20,type1,0,C,type1,-2,42,12,0
63,0,missing,1691.75,NonAuto,Retail,1,rural,0,121792,1dwelling,1,-20,type1,1,B,type1,-2,2,12,0
64,1,missing,267.83,NonAuto,Others,0,urban,0,9875,1dwelling,1,-20,type1,0,B,type1,-2,39,12,25
65,0,missing,722.59,CSLGrp2,Retail,1,suburban,0,132692,2autodwelling,1,8,type1,1,B,type1,0,14,6,0
66,0,method1,819.4,NonAuto,Retail,0,urban,1,65417,1dwelling,1,-20,type3,0,A,type3,-2,128,12,56
67,1,method1,2473.69,NonAuto,Retail,1,suburban,1,27825,1dwelling,1,-20,type3,1,C,type3,-2,46,12,0
68,1,method4,590.79,NonAuto,Retail,0,rural,0,25541,1dwelling,1,-20,type2,0,B,type2,-2,125,12,0
69,0,method4,211.28,CSLGrp1,Retail,0,urban,1,52742,2autodwelling,2,70,type3,0,A,type3,-1,213,6,12
70,1,method3,1919.9,NonAuto,Retail,1,suburban,1,19777,1dwelling,1,-20,type1,1,B,type1,-2,42,12,0
71,2,method3,579,NonAuto,Retail,1,rural,0,110666,1dwelling,1,-20,type1,1,B,type1,-2,55,12,0
72,2,method2,3185.6,NonAuto,Retail,0,suburban,0,110915,3other,4,-20,type3,0,C,type3,-2,163,12,0
73,1,method3,526.23,NonAuto,Retail,0,rural,1,86881,1dwelling,1,-20,type2,0,C,type2,-2,169,12,0
74,2,method3,879.06,NonAuto,Retail,1,rural,1,9943,1dwelling,1,-20,type1,1,B,type1,-2,2,12,77
75,1,method1,1029.68,NonAuto,Retail,0,urban,0,133216,1dwelling,1,-20,type1,0,A,type1,-2,3,12,0
76,0,method3,1563.97,NonAuto,Retail,1,suburban,0,144629,1dwelling,1,-20,type1,1,B,type1,-2,0,12,41
77,1,method3,3525.62,NonAuto,Retail,0,urban,0,16916,1dwelling,1,-20,type1,1,B,type1,-2,3,12,0
78,0,method3,315.24,NonAuto,Others,0,rural,0,75427,1dwelling,1,-20,type1,0,A,type1,-2,80,12,0
79,1,method3,980.52,SPGrp4,Retail,0,urban,1,51639,3autodwellingumb,3,76,type1,0,A,type1,1,213,6,0
80,1,method3,264.36,CSLGrp2,Retail,0,rural,1,27772,2autodwelling,2,37,type1,0,A,type1,1,42,6,7
81,5,method3,1044.58,SPGrp3,Retail,0,urban,1,93108,2autodwelling,2,92,type3,0,C,type3,1,207,6,100
82,3,method4,493.06,CSLGrp2,Retail,0,rural,0,9745,2autodwelling,2,46,type2,0,C,type2,1,260,6,36
83,4,method1,1493.61,SPGrp3,Retail,0,urban,0,98488,2autodwelling,2,8,type1,0,C,type1,0,92,6,163
84,4,missing,1546.42,NonAuto,Retail,0,rural,0,1455,1dwelling,1,-20,type3,0,B,type3,-2,241,12,1
85,0,method3,263.26,NonAuto,Others,0,suburban,1,10129,1dwelling,1,-20,type1,0,C,type1,-2,19,12,0
86,3,method1,1714.73,SPGrp3,Retail,0,suburban,0,122536,2autodwelling,2,8,type2,0,C,type2,-1,145,6,37
87,3,method3,292.34,SPGrp2,Retail,1,rural,0,5505,2autodwelling,2,79,type1,1,B,type1,-1,20,6,0
88,1,method3,225.68,NonAuto,Others,0,suburban,0,105854,1dwelling,1,-20,type2,0,C,type2,-2,278,12,119
89,1,method1,1975.13,NonAuto,Others,0,suburban,0,87369,1dwelling,1,-20,type1,1,B,type1,-2,0,12,0
90,1,method4,260.54,NonAuto,Others,1,rural,0,81944,1dwelling,1,-20,type3,1,B,type3,-2,15,12,0
91,0,method4,922.55,NonAuto,Retail,0,rural,1,14911,1dwelling,1,-20,type2,0,C,type2,-2,13,12,0
92,0,method1,317.84,NonAuto,Others,1,urban,0,52126,1dwelling,1,-20,type2,1,B,type2,-2,92,12,0
93,2,missing,85.05,SPGrp4,Retail,0,urban,1,115892,2autodwelling,2,63,type3,1,B,type3,-1,11,6,0
94,1,method4,7943.27,NonAuto,Others,0,suburban,1,7670,1dwelling,1,-20,type2,0,C,type2,-2,98,12,0
95,0,method1,371.43,SPGrp2,Retail,1,urban,0,18271,2autodwelling,2,35,type1,1,B,type1,0,4,6,0
96,21,method1,273.9,CSLGrp2,Retail,1,suburban,1,131101,2autodwelling,2,25,type1,1,C,type1,-1,98,6,8
97,0,missing,615.97,NonAuto,Retail,0,rural,1,123053,3other,7,-20,type2,-2,B,type2,-2,30,12,52
98,1,method4,601.6,NonAuto,Others,0,suburban,0,77435,1dwelling,1,-20,type1,0,B,type1,-2,65,12,73
99,3,method4,927.75,NonAuto,Retail,0,rural,0,2984,1dwelling,1,-20,type2,0,C,type2,-2,180,12,0
100,6,method3,981.61,NonAuto,Others,0,rural,0,41082,1dwelling,1,-20,type1,1,C,type1,-2,2,12,0
101,5,method3,282.38,NonAuto,Others,1,urban,0,56391,1dwelling,1,-20,type2,0,C,type2,-2,54,12,35
102,0,method1,3493.18,NonAuto,Others,0,urban,1,148526,1dwelling,1,-20,type1,0,A,type1,-2,76,12,20
103,4,method4,412.59,NonAuto,Retail,1,rural,1,112751,1dwelling,1,-20,type2,0,B,type2,-2,83,12,19
104,1,method2,206.94,NonAuto,Retail,1,urban,1,56999,1dwelling,1,-20,type3,1,C,type3,-2,1,12,0
105,2,missing,1125.16,NonAuto,Others,1,urban,1,134143,1dwelling,1,-20,type1,1,C,type1,-2,14,12,0
106,10,missing,801,NonAuto,Others,0,rural,1,128575,1dwelling,1,-20,type1,1,A,type1,-2,32,12,148
107,0,missing,407.76,NonAuto,Others,1,rural,1,8235,1dwelling,1,-20,type1,1,C,type1,-2,0,12,0
108,2,method2,786.64,NonAuto,Others,0,rural,1,106686,1dwelling,1,-20,type2,0,C,type2,-2,70,12,0
109,2,missing,750.9,SPGrp3,Retail,1,rural,0,87293,2autodwelling,2,8,type3,1,B,type3,1,6,6,0
110,2,method3,650.18,NonAuto,Retail,0,rural,1,826,1dwelling,1,-20,type1,0,A,type1,-2,199,12,121
111,1,method1,541.46,CSLGrp2,Retail,0,urban,1,66284,2autodwelling,2,19,type2,0,B,type2,-1,200,6,38
112,3,missing,406.43,NonAuto,Others,0,rural,0,62568,1dwelling,1,-20,type1,0,A,type1,-2,88,12,0
113,1,missing,2060.42,NonAuto,Retail,0,suburban,1,50459,1dwelling,1,-20,type1,0,A,type1,-2,9,12,0
114,3,missing,226.46,SPGrp2,Retail,0,suburban,0,126991,3autodwellingumb,3,93,type1,0,B,type1,0,178,6,0
115,0,missing,955.62,NonAuto,Retail,0,urban,0,98083,1dwelling,1,-20,type1,0,A,type1,-2,118,12,0
116,0,method2,1598.92,NonAuto,Retail,1,rural,0,382,1dwelling,1,-20,type1,1,B,type1,-2,21,12,0
117,1,method1,559.05,CSLGrp2,Retail,0,suburban,0,17472,2autodwelling,2,65,type1,0,B,type1,1,57,6,0
118,22,missing,657.79,NonAuto,Others,1,rural,0,43448,1dwelling,1,-20,type1,1,C,type1,-2,4,12,94
119,2,method3,1629.48,CSLGrp3,Retail,0,urban,0,47553,2autodwelling,2,12,type1,0,C,type1,0,197,6,0
120,2,method3,625.41,SPGrp2,Retail,1,urban,1,38182,2autodwelling,2,18,type2,0,B,type2,0,81,6,48
121,1,method2,986.33,NonAuto,Others,1,urban,1,129046,1dwelling,1,-20,type1,1,C,type1,-2,1,12,109
122,0,missing,2808.44,CSLGrp1,Retail,1,rural,0,91685,2autodwelling,2,76,type2,1,A,type2,1,1,6,0
123,1,method1,265.84,NonAuto,Retail,1,urban,1,18832,1dwelling,1,-20,type1,1,B,type1,-2,14,12,1
124,11,missing,195.8,NonAuto,Retail,1,rural,1,39442,1dwelling,2,-20,type2,0,B,type2,-2,158,12,62
125,3,method1,1551.8,SPGrp2,Retail,0,rural,1,3450,2autodwelling,2,8,type2,0,A,type2,-1,356,6,125
126,2,method3,1336.95,NonAuto,Retail,0,urban,0,82181,1dwelling,1,-20,type1,1,C,type1,-2,9,12,16
127,1,method1,266.44,NonAuto,Retail,1,suburban,1,64959,1dwelling,1,-20,type1,1,A,type1,-2,15,12,0
128,3,method4,302.36,CSLGrp3,Retail,0,suburban,1,144715,2autodwelling,3,32,type2,0,B,type2,-1,212,6,18
129,1,missing,222.62,NonAuto,Others,1,rural,0,26964,1dwelling,1,-20,type1,1,A,type1,-2,50,12,8
130,3,method2,2380.24,NonAuto,Retail,1,suburban,1,74187,3other,3,-20,type2,1,A,type2,-2,169,12,55
131,5,method1,767.04,SPGrp3,Retail,0,rural,1,128947,2autodwelling,2,8,type2,0,B,type2,-1,192,6,0
132,1,method2,964.45,NonAuto,Others,1,rural,1,107296,1dwelling,1,-20,type1,1,A,type1,-2,29,12,0
133,1,method1,185.84,NonAuto,Retail,0,suburban,1,41474,1dwelling,1,-20,type1,0,A,type1,-2,111,12,6
134,3,missing,2620.39,NonAuto,Retail,1,rural,0,12631,1dwelling,1,-20,type1,1,C,type1,-2,29,12,59
135,1,method1,1480.01,SPGrp3,Retail,1,suburban,0,107310,2autodwelling,2,52,type1,1,C,type1,0,3,6,15
136,0,method2,6601.13,SPGrp3,Retail,0,suburban,0,101667,2autodwelling,2,10,type2,0,C,type2,0,316,6,0
137,1,method3,1759.54,SPGrp1Miss,Retail,0,suburban,0,121834,3autodwellingumb,4,41,type2,0,B,type2,0,139,6,0
138,2,method2,284.48,NonAuto,Retail,1,rural,1,1373,3other,4,-20,type1,1,B,type1,-2,14,12,0
139,3,method3,12218.89,NonAuto,Retail,0,suburban,1,58454,3other,3,-20,type1,0,A,type1,-2,116,12,12
140,1,method2,254.04,NonAuto,Others,0,urban,1,19572,1dwelling,1,-20,type1,0,C,type1,-2,276,12,0
141,1,method2,2924.65,NonAuto,Retail,1,urban,1,58727,1dwelling,1,-20,type1,0,C,type1,-2,104,12,66
142,3,method4,1160.74,CSLGrp3,Retail,0,urban,1,29284,2autodwelling,1,8,type2,0,B,type2,-1,286,6,7
143,1,missing,1527.92,NonAuto,Others,0,urban,0,144639,1dwelling,1,-20,type1,0,C,type1,-2,58,12,53
144,0,method2,603.84,NonAuto,Others,0,urban,0,39216,1dwelling,1,-20,type1,1,A,type1,-2,70,12,74
145,6,missing,1263.23,NonAuto,Others,1,urban,0,97120,1dwelling,1,-20,type2,1,B,type2,-2,55,12,129
146,0,method4,1465.75,NonAuto,Others,1,suburban,1,50317,1dwelling,1,-20,type2,1,C,type2,-2,52,12,0
147,1,method1,791.83,NonAuto,Retail,0,rural,0,18867,1dwelling,1,-20,type1,0,C,type1,-2,36,12,47
148,2,method3,2505.79,NonAuto,Retail,0,suburban,0,10889,3other,3,-20,type1,0,B,type1,-2,88,12,0
149,9,method2,2968.51,NonAuto,Others,1,rural,0,64678,1dwelling,1,-20,type3,0,A,type3,-2,115,12,78
150,0,method2,7005.85,NonAuto,Others,1,urban,0,6689,1dwelling,1,-20,type1,1,A,type1,-2,93,12,0
151,2,method3,285.25,NonAuto,Others,0,rural,1,45466,1dwelling,1,-20,type2,0,C,type2,-2,103,12,81
152,4,method1,3170.45,NonAuto,Retail,0,rural,0,132658,3other,4,-20,type2,0,B,type2,-2,126,12,0
153,3,method1,4307.91,NonAuto,Retail,0,rural,0,39853,1dwelling,1,-20,type1,1,B,type1,-2,5,12,69
154,1,method1,1495.55,NonAuto,Retail,1,urban,1,43876,1dwelling,1,-20,type1,0,A,type1,-2,185,12,0
155,0,method3,4468.92,NonAuto,Retail,1,urban,0,110595,1dwelling,1,-20,type1,0,B,type1,-2,178,12,5
156,1,method1,1809.1,SPGrp3,Retail,0,suburban,1,149180,2autodwelling,2,8,type2,0,A,type2,0,109,6,133
157,4,missing,1528.68,NonAuto,Others,0,rural,1,61717,1dwelling,1,-20,type1,1,B,type1,-2,29,12,15
158,7,method1,212.09,NonAuto,Retail,0,urban,1,40561,1dwelling,1,-20,type2,0,A,type2,-2,305,12,44
159,1,method2,507.52,SPGrp3,Retail,0,urban,0,27283,2autodwelling,2,94,type3,0,A,type3,1,78,6,6
160,0,method1,552.1,NonAuto,Retail,0,urban,0,73073,1dwelling,1,-20,type1,0,A,type1,-2,193,12,0
161,1,method1,2062.72,NonAuto,Others,0,suburban,0,110376,1dwelling,1,-20,type1,0,C,type1,-2,69,12,0
162,1,method4,803.92,CSLGrp1,Retail,0,urban,1,74385,2autodwelling,2,88,type2,0,C,type2,0,169,6,0
163,0,method4,555.86,NonAuto,Others,1,rural,0,126154,1dwelling,1,-20,type1,1,B,type1,-2,168,12,0
164,2,method3,3924.23,CSLGrp2,Retail,0,suburban,1,25876,2autodwelling,2,93,type1,0,B,type1,-1,149,6,0
165,13,method3,1775.52,SPGrp4,Retail,0,urban,0,48493,2autodwelling,2,40,type2,0,C,type2,1,102,6,18
166,0,missing,614.24,NonAuto,Others,1,urban,1,27300,1dwelling,1,-20,type1,1,A,type1,-2,11,12,0
167,4,missing,233.23,NonAuto,Others,0,urban,1,139835,1dwelling,1,-20,type1,0,C,type1,-2,6,12,116
168,3,method1,133.63,NonAuto,Others,1,rural,0,42185,1dwelling,1,-20,type2,1,A,type2,-2,4,12,19
169,0,method2,834.33,NonAuto,Retail,0,rural,0,124451,3other,3,-20,type2,0,C,type2,-2,180,12,0
170,8,method4,2843.74,NonAuto,Others,1,rural,1,56958,1dwelling,1,-20,type1,1,B,type1,-2,0,12,47
171,0,missing,394.55,NonAuto,Others,0,suburban,1,48016,1dwelling,1,-20,type1,0,B,type1,-2,168,12,0
172,10,missing,132.48,NonAuto,Retail,0,suburban,0,54495,3other,5,-20,type2,1,C,type2,-2,11,12,22
173,6,missing,1440.25,NonAuto,Retail,0,rural,0,66772,1dwelling,1,-20,type2,0,A,type2,-2,199,12,0
174,0,method2,5419.17,NonAuto,Others,0,rural,1,21268,1dwelling,1,-20,type2,0,B,type2,-2,171,12,0
175,3,method4,76.93,NonAuto,Others,1,rural,1,147795,1dwelling,1,-20,type1,1,B,type1,-2,0,12,0
176,4,method3,5417.42,NonAuto,Retail,0,rural,0,84542,1dwelling,1,-20,type2,0,C,type2,-2,233,12,0
177,1,missing,2918.18,NonAuto,Others,1,rural,1,11907,1dwelling,1,-20,type2,1,B,type2,-2,8,12,0
178,8,method2,523.93,SPGrp2,Retail,0,rural,1,2897,2autodwelling,2,19,type1,1,A,type1,0,5,6,110
179,2,missing,737.31,CSLGrp3,Retail,0,suburban,0,89363,2autodwelling,2,43,type1,1,C,type1,-1,142,6,11
180,0,method2,1304,NonAuto,Retail,0,suburban,0,7566,1dwelling,1,-20,type3,0,C,type3,-2,171,12,0
181,10,method2,208.59,NonAuto,Retail,0,rural,0,140709,1dwelling,1,-20,type2,0,C,type2,-2,138,12,0
182,2,method3,341.32,NonAuto,Others,0,suburban,1,56967,1dwelling,1,-20,type1,0,B,type1,-2,12,12,0
183,0,missing,435.84,SPGrp2,Retail,1,suburban,1,124400,2autodwelling,2,24,type1,1,B,type1,0,0,6,0
184,1,method4,1084.77,NonAuto,Retail,0,urban,1,92049,1dwelling,1,-20,type3,0,C,type3,-2,98,12,56
185,0,method1,1131.95,NonAuto,Retail,1,rural,0,103628,1dwelling,1,-20,type1,1,A,type1,-2,5,12,0
186,5,method3,211.42,NonAuto,Retail,0,rural,0,93743,1dwelling,1,-20,type1,0,C,type1,-2,68,12,37
187,5,method2,484.84,NonAuto,Retail,1,urban,1,7238,3other,3,-20,type3,1,B,type3,-2,28,12,104
188,2,method1,384.99,SPGrp4,Retail,0,suburban,0,117299,2autodwelling,2,43,type2,-2,C,type2,0,191,6,14
189,1,method4,1498.21,NonAuto,Retail,0,suburban,0,44715,1dwelling,1,-20,type1,1,A,type1,-2,0,12,65
190,1,method3,749.29,NonAuto,Retail,1,suburban,1,133033,3other,4,-20,type1,1,A,type1,-2,26,12,44
191,3,method4,753.49,NonAuto,Others,1,urban,0,33330,1dwelling,1,-20,type1,0,C,type1,-2,33,12,71
192,2,method4,201.52,NonAuto,Retail,0,urban,1,82492,1dwelling,1,-20,type2,0,A,type2,-2,191,12,0
193,0,method4,729.12,NonAuto,Retail,1,rural,1,11487,1dwelling,1,-20,type1,1,B,type1,-2,4,12,0
194,0,method4,611.29,NonAuto,Retail,0,suburban,1,148615,1dwelling,1,-20,type2,0,C,type2,-2,180,12,0
195,0,method4,1188.81,NonAuto,Retail,0,suburban,1,83479,3other,4,-20,type3,0,B,type3,-2,197,12,4
196,3,method3,2588.79,NonAuto,Others,1,rural,0,29459,1dwelling,1,-20,type1,1,C,type1,-2,193,12,0
197,2,method1,1392.3,NonAuto,Others,0,rural,0,98721,1dwelling,1,-20,type2,0,C,type2,-2,94,12,24
198,3,method2,11398.94,NonAuto,Retail,0,urban,0,99834,1dwelling,1,-20,type1,1,B,type1,-2,1,12,0
199,3,method2,864.09,NonAuto,Retail,0,rural,0,72562,3other,4,-20,type2,0,B,type2,-2,140,12,17
200,1,method3,1124.18,SPGrp1Miss,Retail,1,rural,1,11481,2autodwelling,2,37,type3,0,B,type3,0,111,6,0
201,1,missing,202.8,NonAuto,Others,0,rural,1,88237,1dwelling,1,-20,type1,0,C,type1,-2,59,12,0
202,1,missing,3692.63,NonAuto,Retail,0,suburban,1,10095,1dwelling,1,-20,type1,0,B,type1,-2,220,12,0
203,4,method3,1687.44,NonAuto,Retail,1,suburban,0,137971,1dwelling,1,-20,type1,1,B,type1,-2,91,12,35
204,1,method4,1357.78,NonAuto,Retail,0,rural,0,96643,1dwelling,1,-20,type2,0,B,type2,-2,149,12,55
205,1,method4,2532.19,NonAuto,Others,0,suburban,1,29753,1dwelling,1,-20,type1,1,B,type1,-2,25,12,25
206,1,method1,1589.89,NonAuto,Others,1,suburban,0,63312,1dwelling,1,-20,type1,1,C,type1,-2,2,12,52
207,0,method2,829.91,SPGrp2,Retail,1,rural,0,112283,2autodwelling,2,70,type1,1,B,type1,0,15,6,0
208,4,method4,852.94,NonAuto,Others,0,suburban,0,66697,1dwelling,1,-20,type1,1,B,type1,-2,0,12,54
209,1,method2,1653.44,NonAuto,Retail,0,rural,0,16459,3other,4,-20,type2,0,B,type2,-2,251,12,0
210,3,method3,947.32,NonAuto,Others,1,urban,0,27984,1dwelling,1,-20,type1,1,C,type1,-2,6,12,26
211,2,method3,796.47,NonAuto,Others,1,urban,1,134196,1dwelling,1,-20,type1,1,A,type1,-2,1,12,40
212,2,method1,699.76,NonAuto,Retail,1,suburban,0,59129,3other,4,-20,type3,1,B,type3,-2,225,12,25
213,0,method4,2683.36,NonAuto,Retail,0,suburban,0,121487,3other,3,-20,type1,0,C,type1,-2,304,6,0
214,1,method2,1589.55,CSLGrp3,Retail,0,urban,1,21230,2autodwelling,1,41,type1,0,A,type1,0,173,6,73
215,1,method3,463.24,NonAuto,Others,0,suburban,1,23283,1dwelling,1,-20,type2,0,A,type2,-2,18,12,0
216,1,method4,1388.35,NonAuto,Others,1,suburban,0,146602,1dwelling,1,-20,type1,1,C,type1,-2,78,12,0
217,5,method4,207.91,CSLGrp3,Retail,1,urban,0,3975,2autodwelling,2,37,type2,1,C,type2,0,89,6,0
218,2,method1,825.34,NonAuto,Others,0,suburban,1,81112,1dwelling,1,-20,type2,1,C,type2,-2,48,12,0
219,0,method1,1205.39,NonAuto,Retail,0,suburban,0,30508,1dwelling,1,-20,type1,1,B,type1,-2,17,12,0
220,2,method2,2697.74,NonAuto,Retail,0,suburban,1,30147,1dwelling,1,-20,type2,0,C,type2,-2,165,12,54
221,1,method2,121.9,NonAuto,Others,1,suburban,0,111141,1dwelling,1,-20,type2,1,A,type2,-2,39,12,0
222,0,missing,68.59,NonAuto,Others,0,rural,0,116902,1dwelling,1,-20,type2,0,C,type2,-2,139,12,6
223,2,method3,2551.83,NonAuto,Others,0,rural,1,130352,1dwelling,1,-20,type1,1,A,type1,-2,1,12,0
